"市区町村コード","課税年度","宛名番号","郵便番号","住所_都道府県","住所_市区郡町村名","住所_町字","住所_番地号表記","住所_方書","氏名（振り仮名）","氏名","生年月日"
"97882","2025","1","2898476","神奈川県","××町","小岩","49-11-3","","ハヤシタカシ","林隆","'2002/12/03'"
"96685","2025","2","5116988","石川県","渋谷区","有楽町","11-79","ビル××　3階","キムラジロウ","木村次郎","'2005/01/06'"
"96248","2025","3","9869120","沖縄県","〇〇市","葛西","59-47","","サイトウアイコ","斎藤愛子","'2004/06/01'"
"16456","2025","4","3614975","秋田県","東区","銀座","87-62","","サイトウオサム","斎藤修","'1973/10/01'"
"76173","2025","5","9710935","高知県","板橋区","表参道","42-16","","モリタダシ","森正","'1952/02/03'"
"62958","2025","6","6920949","鳥取県","□□村","霞が関","27-80","マンション〇〇 101号室","イトウナオコ","伊藤直子","'1957/02/20'"
"99535","2025","7","5150150","青森県","北区","丸の内","54-60","アパート△△ 2F","サイトウミノル","斎藤実","'1956/11/20'"
"17365","2025","8","6854635","熊本県","練馬区","錦糸町","94-88-14","ビル××　3階","マエダタカシ","前田隆","'2008/11/03'"
"65597","2025","9","9894869","佐賀県","西区","虎ノ門","44-1-12","","シミズマコト","清水誠","'1965/06/20'"
"19710","2025","10","3818328","熊本県","北区","丸の内","92-90","","ワタナベシロウ","渡辺四郎","'1968/11/07'"
"24607","2025","11","1161230","愛媛県","△△区","渋谷","15-65","","ゴトウアイコ","後藤愛子","'1966/10/16'"
"39625","2025","12","1443849","兵庫県","足立区","大手町","14-99","","ハシモトケン","橋本健","'1999/09/26'"
"84681","2025","13","4100728","福岡県","足立区","亀戸","95-60","","ワタナベユタカ","渡辺豊","'2003/11/10'"
"21907","2025","14","2148858","和歌山県","南区","有楽町","37-49","","イノウエタダシ","井上正","'1964/07/06'"
"10327","2025","15","9803964","千葉県","新宿区","銀座","62-92-16","","ヤマダタロウ","山田太郎","'1987/03/09'"
"71234","2025","16","4841408","石川県","△△区","虎ノ門","60-44","","マエダジロウ","前田次郎","'1977/03/11'"
"64603","2025","17","8201141","山口県","練馬区","船堀","43-69","","ヤマグチミサキ","山口美咲","'2010/03/16'"
"59159","2025","18","1538232","山形県","杉並区","新橋","36-92","","イシダユウ","石田裕","'1955/06/02'"
"65994","2025","19","8255935","埼玉県","南区","小岩","80-51","","ワタナベマナブ","渡辺学","'1996/02/17'"
"92854","2025","20","5332222","鹿児島県","渋谷区","霞が関","20-53","","タカハシタロウ","高橋太郎","'1981/11/20'"
"57055","2025","21","3535720","岩手県","足立区","葛西","79-20","","カトウヒデ","加藤秀","'2004/03/29'"
"27652","2025","22","9927812","長野県","中央区","東葛西","98-20","","ハヤシシゲル","林茂","'1950/04/17'"
